title,lemmatized_text
Blondie's Hero,dagwood enters army reserve blondie visit discover caused sort problem lead numerous conflict
Team America: World Police,team america world police follows international police force dedicated maintaining global stability learning dictator kim jong il destroy world team recruit broadway star gary johnston go undercover help team america gary manages uncover plan destroy world team america able save time star samuel l jackson tim robbins sean penn michael moore helen hunt matt damon susan sarandon george clooney danny glover ethan hawke alec baldwin
Beetlejuice,thanks untimely demise via drowning young couple end poltergeist new england farmhouse fail meet challenge scaring away insufferable new owner want make drastic change desperation undead newlywed turn expert frightmeister got diabolical agenda
The Believer,hardcore u racist skinhead intelligence lead gang dedicated fighting enemy supposed american jewish conspiracy domination however hiding secret jewish born brilliant scholar whose questioning tenet faith left angry confused turning think tragic history making
The Prize,reason year nobel prize literature awarded young author andrew craig seems interested woman drinking writing another laureate dr max stratman famous german american physicist come stockholm young beautiful niece emily foreign department also give assistant stay miss andersson craig soon notice dr stratman acting strangely second time meet dr stratman even recognize
My Girl,vada sultenfuss obsessed death mother dead father run funeral parlor also love english teacher join poetry class summer impress thomas j best friend allergic everything stick vada despite hangups vada father hire shelly begin fall thing take turn worse
The Down-in-the-Hole Gang,find group misfit given humanity decided dwell pavement group hierarchy course soon condition drove underground begin manifest without influence outside world
Benny & Joon,mentally ill young woman find love eccentric man model buster keaton
Black Rain,two new york cop get involved gang war member yakuza japanese mafia arrest one killer ordered escort back japan however japan manages escape try track get deeper deeper japanese mafia scene learn win playing game japanese way
Bloody Sunday,dramatised story irish civil right protest march january ended massacre british troop
The Transporter,former special force officer frank martin deliver anything anyone right price question asked policy put high demand realizes latest cargo alive set motion dangerous chain event bound gagged lai smuggled france shady american businessman frank work save illegal activity uncovered french detective
Blondie of the Follies,new york city tenement dwelling neighbor blondie lottie longtime best friend lottie make cast folly move world arranges blondie well join cast gain advantage friendship go awry lottie sweetheart wealthy larry belmont fall blondie
Blondie Johnson,depression downtrodden waif us brain instead body rise tyro con artist crime bos
Le château perdu,overview found
Blow,boy named george jung grows struggling family mother nag husband trying make living family finally revealed george father cannot make living family go bankrupt george want thing happen friend tuna suggests deal marijuana big hit california yet go jail find wonder cocaine result released get rich bringing cocaine america however soon pay price
Het zwijgen,overview found
Blindsight,six blind tibetan teenager climb lhakpa ri peak mount everest led seven summit blind mountain climber erik weihenmayer
Shoot 'Em Up,man named mr smith delivers woman baby shootout called upon protect newborn army gunman
Road to Perdition,mike sullivan work hit man crime bos john rooney sullivan view rooney father figure however son witness killing mike sullivan find run attempt save life son time looking revenge wronged
Revolutionary Road,young couple living connecticut suburb mid struggle come term personal problem trying raise two child based novel richard yates
Three Seasons,three season want show individual triumphing adversity recovering trauma looking forward better time well nostalgia better day american french invasion material ideological poetic film try paint picture urban culture undergoing westernisation
Paul and Michelle,taking place approximately three year event friend paul michelle follows family paul harrison michelle latour harrison reunited paul cope difficulty face balancing work college trying maintain family well new love interest michelle
Friends,french teen paul michelle run away home remote beach baby
Breach,eric neill computer specialist want made agent assigned clerk robert hanssen senior agent year fbi write everything hanssen neill told investigation hanssen sexual habit however hanssen really suspected spying soviet union russia year responsible death agent working united state
Trade,texas cop whose daughter might forced sexual slavery join force mexican youth find boy sister abducted forced prostitution meanwhile ukrainian woman promised better life america also becomes victim
Spellbound,dr anthony edwardes arrives vermont mental hospital replace outgoing hospital director dr constance peterson psychoanalyst discovers edwardes actually impostor man confesses real dr edwardes dead fear may killed cannot recall anything dr peterson however convinced impostor innocent man murder join quest unravel amnesia psychoanalysis
Under Capricorn,irishman charles adare travel australia start new life help cousin appointed governor arrives meet powerful landowner ex convict sam flusky want business deal whilst attending dinner party flusky house charles meet flusky wife henrietta known child back ireland henrietta alcoholic seems verge madness
Murder on the Orient Express,train stopped deep snow detective hercule poirot called solve murder occurred car night
Death on the Nile,hercule poirot enjoys luxurious cruise nile newlywed heiress found murdered board poirot identify killer ship reach end journey
Evil Under the Sun,trying find millionaire wound phony diamond brings hercule poirot exclusive island resort frequented rich famous murder committed everyone alibi
Lenin: The Train,march april first world war already couple year pace sealed train russian emigrant keep driving z rich germany sweden sint petersburg outlaw stand guidance vladimir j lenin two senior officer support revolutionary bomb ensure everything run smoothly yet unpleasant clash socialist enthusiastic worker worried war train travel come end lenin affair gracious inessa wife nadja prepared take back triumphant entrance st petersburg exceed expectation
The Man in the Iron Mask,story louis xiv france attempt keep identical twin brother philippe imprisoned away sight knowledge public philippe rescue aging musketeer led artagnan
The Fifth Musketeer,king louis xiv without knowledge twin brother philippe told immediately lock brother bastille king want increase popularity stage assassination philippe dressed king louis philippe manages escape assassination everybody belief real king
$5 a Day,released jail son con man join father road
"Oh, What a Night",summer seventeen year old eric hansen embarks journey new town journey change life forever
Danton,height reign terror maximilien robespierre orchestrates trial execution several fellow leading french revolutionary including george danton
Shriek If You Know What I Did Last Friday the Thirteenth,horror parody masked serial killer menace town bulimia fall various sharp object attention seeking television personality hagitha utslay soon scene reporting ever growing body count former mall security guard doughy show protect teenage population clearly much help allowing murderer pick even hapless kid numerous scary movie referenced
The Scary Movie,martina sonja cross dress vampire cape werewolf claw enacting familiar horror trope corresponding soundtrack stock scream scary music suggests girl toying gender role power dynamic may dire consequence
Scary Texas Movie,overview found
Scream,killer known ghostface begin killing teenager body count begin rising one girl friend find contemplating rule horror film find living real life one
Scream 2,two year terrifying event occurred woodsboro sidney attending windsor college cincinnati gale weather best selling book sidney life made major motion picture two college student killed theatre watching new film stab sidney know deep history repeating
Scream 3,murdering spree begin happen time targeted toward original woodsboro survivor associated movie inside movie stab sydney must face demon past stop killer
Freak Out,two best friend merv doody james heathcote onkey dan palmer take hapless escaped mental patient wing attempt teach become real serial killer
The Erotic Mirror,amy bill romantic getaway come across old second hand store amidst clutter amy unearths beautiful antique mirror immediately overcome deep inner desire caress explore luscious body way never thought possible amy quickly buy mirror discover ghostly legend sexually insatiable whorehouse madame trapped inside powerless control amy indulges naughtiest fantasy standing shimmering mirror soon female friend introduced seductive supernatural energy none deny lesbian urge overtake sweet young body transforming writhing sex machine cannot satisfied amidst moan pleasure could amy possibly realize terrifying consequence action fate ghost mirror store infinite ecstasy endless erotic longing
Titanic 2000,luxury liner titanic set sail maiden voyage one passenger vampire vladamina vladamina searching woman turn vampire queen frustrated rock groupie shari look perfect target various people get seduced killed liner continues doomed voyage shari must chose eternity living dead sex slave frigid grave bottom ocean
Scary Movie,halloween night big time nerd warren attends spookhouse small texas town haunted house harmless seems psychotic mental patient found new stomping ground
The Kid,powerful businessman rus duritz self absorbed immersed work magic moon meet rusty chubby charming year old version believe could turn badly life dog rusty help rus able reconcile person used dream man actually become
Scary Movie,familiar looking group teenager find stalked vaguely recognizable masked killer victim begin pile laugh pile none favorite scary movie escape razor sharp satire outrageously funny parody
Scary Movie 2,original parodied slasher flick like scream keenen ivory wayans sequel scary movie take comedic aim haunted house movie group student visit mansion called hell house murderous high jinks ensue
The Comeback,absence five year six time mr olympia winner arnold schwarzenegger make comeback attempt take world body building championship time
The Party at Kitty and Stud's,kitty stud lover enjoy robust sex life includes fellatio light specifically stud belt whipping kitty three woman come party stud service one
Scary Movie 3,third installment scary movie franchise news anchorwoman cindy campbell investigate mysterious crop circle killing video tape help president stop alien invasion process
Scary Movie 4,cindy find house life haunted little boy go quest find killed also alien tr ipod invading world uncover secret order stop
Scary Movie 5,home newly formed family happy parent dan jody haunted sinister paranormal activity determined expel insidious force install security camera discover family stalked evil dead demon
The Perfect Scary Movie,documentary looking various convention scare technique horror genre
Appointment with Death,emily boynton stepmother three child blackmail family lawyer destroying second late husband would freed child dominating influence take child daughter law holiday europe holy land dig emily found dead hercule poirot investigates
Primeval,news team sent burundi capture bring home legendary foot crocodile difficult task turn potentially deadly warlord target death
Sasquatch Hunters,bigfoot sasquatch legend never die kill
The Final Terror,group friend head expected vacation hiking camping good time backwoods mama find turf becomes anything vacation
Dinocroc,african dinosaur ancestor crocodile found dr campbell us dna create prototype paula kennedy genetic research co gereco lab however one must put killing someone another escape information kept sheriff harper daughter county dog catcher diane harper help ex welding artist tom banning kid brother michael beloved dog bump campbell discover dinocroc growing escaped tunnel although gereco hire australian crocodile specialist intrepid hunter richard dick sydney beast prof impervious bullet body count rise alarming
Supergator,geologist encounter giant alligator investigating active volcano hawaii
Eat the Rich,alex disgruntled waiter snobby exclusive restaurant fall hard time forced deal contempt disgust upper class alex cohort attempt go rampage meanwhile general karprov spider plot involve inept anarchist plan derail prime minister campaign
L.A. Vice,detective jon louroy chance investigates string murder los angeles uncovers ruthless kidnapping scheme
Millennium,investigator seeking cause airline disaster discovers involvement organisation time traveller future earth irreparably polluted seek rejuvenate human race die past based novel john varley
Monsieur Truffaut Meets Mr. Hitchcock,francois truffaut approached alfred hitchcock idea long conversation work publishing book form imagine four year would pas le cin selon hitchcock finally appeared france world truffaut hitchcock interview developed year standard bible film literature three year hitchcock death truffaut decided expand legendary book include concluding chapter published edition finitive film describes genesis hitchbook throw light strange friendship two completely different men centrepiece extract original sound recording interview voice alfred hitchcock francois truffaut helen scott recording never heard public
Charlie's Angels,three woman detective mysterious bos retrieve stolen voice id software using martial art tech skill sex appeal
The Birds II: Land's End,bird go berserk turn mankind
I Woke Up Early the Day I Died,mental patient escape looney bin drag robs bank go lam
Atonement,year old fledgling writer briony tallis irrevocably change course several life accuses older sister lover crime commit
Pride & Prejudice,story love life among landed english gentry georgian era mr bennet gentleman living hertfordshire overbearing wife five daughter dy house inherited distant cousin never met family future happiness security dependent daughter making good marriage
The Kingdom,team u government agent sent investigate bombing american facility middle east
Bordertown,opening title explain american corporation using north american free trade agreement opening large maquiladora right across united state mexico border maquiladora hire mostly mexican woman work long hour little money order produce mass quantity product lauren adrian jennifer lopez impassioned american news reporter chicago sentinel want assigned iraq front line cover war instead editor george morgan martin sheen assigns investigate series slaying involving young maquiladora factory woman mexican bordertown
Munchies,simon watterman space archaeologist discovers munchies cave peru cecil watterman simon evil twin brother snack food entrepreneur kidnaps creature cecil know creature chopped regenerates many new creature mean
Cat on a Hot Tin Roof,brick alcoholic ex football player drink day away resists affection wife maggie reunion father big daddy dying cancer jog host memory revelation father son
Dark Wolf,hip erotic twist werewolf thriller atmospheric horror film add wickedly sexy appetite bloodthirsty craving monster vicious werewolf stalk street los angeles killing desperate goal mate unsuspecting josie unaware special power attracting beast forced take investigation involving werewolf partner killed lapd detective led trail ravenously deadly hybrid werewolf
"My Lover, My Son",woman deal unhappy marriage death lover son involvement crime
Otley,petty crook find mistaken murderer secret agent
Triple Cross,safecracker turn double agent wwii
Dallas Doll,dallas american golf tutor arrives quiet sydney suburb teach local school set causing chaos family stay
Monster-in-Law,office temp charlotte cantilini think found mr right start dating gorgeous surgeon dr kevin field problem standing way everlasting bliss kevin overbearing controlling mother viola fearing lose son affection forever viola decides break happy couple becoming world worst mother law
Shall We Dance?,upon first sight beautiful instructor bored overworked estate lawyer sign ballroom dancing lesson
Maître Pygmalion,overview found
Casanova & Co.,hiding royal authority giacomo casanova famous romancer encounter look alike giacomino fugitive petty con man meanwhile arabian caliph wife arriving venice state visit insists night legendary lover series erotic encounter mistaken identity comedy giacomo giacomino make way back venice appointment caliph wife
Part of the Game,overview found
Crossed,conflicted young man released prison time crime commit however attempt fresh start go horribly wrong plot revenge discovered best friend secretly seeing ex girlfriend still love
The Three Investigators and The Secret Of Skeleton Island,three investigator secret skeleton island cult detective trio rocky beach california fall breath taking mixture adventure thriller mystery hair breadth escape life successful completion last case
The Brave One,woman struggle recover brutal attack setting mission revenge
Les Misérables,jean valjean frenchman imprisoned stealing bread must flee police officer named javert pursuit consumes men life soon valjean find midst student revolution france
G.I. Jane,female senator succeeds enrolling woman combined reconnaissance team training everyone expects fail
2010,planet earth poise brink nuclear self destruction team russian american scientist aboard leonov hurtles rendezvous still orbiting discovery spacecraft sole known survivor homicidal computer hal
Goy,overview found
Herzensschrei,overview found
Candy,poet fall love art student gravitates bohemian lifestyle love heroin hooked much one another drug relationship alternate state oblivion self destruction despair
The Brothers Grimm,folklore collector con artist jake grimm travel village village pretending protect townsfolk enchanted creature performing exorcism however put test encounter real magical curse haunted forest real magical being requiring genuine courage
Al Capone im deutschen Wald,overview found
Svengali,man hypnotizes young woman opera singer
Subway in the Sky,berlin provides backdrop crime drama center military doctor falsely accused dealing illegal drug determined prove innocence escape mp end holing apartment wife rented know sublet flat nightclub singer find begs singer assist attracted agrees doctor belief wife behind black market dealing end find real culprit
Witchery,deserted island hotel hide dark sinister secret hundred year ago witch held sway dominating coven spreading evil seeped deep earth two century later photographer virginal fiance sneak onto island research gruesome history soon find falling victim horror survived age
Night Without Sleep,upon awaking morning man find thought clouded possibility committed murder
The Snows of Kilimanjaro,writer harry street reflects life lie dying infection safari shadow mount kilimanjaro
Decision Before Dawn,wwii entering last phase germany ruin yield u army lack crucial knowledge german unit operating opposite side rhine decides send two german prisoner gather information scheme risky gestapo retains terribly efficient network identify capture spy deserter moreover clear tiger mind dirty work long price right war weary happy might easily betrayed feeling dependable agent tiger another american agent successfully infiltrated happy parachuted bavaria duty find whereabouts powerful german armored unit moving towards western front
Diplomatic Courier,cold war yarn u state department courier tangle soviet agent seductive woman post europe
Seabiscuit,true story undersized depression era racehorse whose victory lifted spirit team behind also nation
My Super Ex-Girlfriend,new york architect matt saunders dump new girlfriend jenny johnson smart sexy reluctant superhero known g girl us power make life living hell
The Private Lives of Pippa Lee,much older husband force move suburban retirement community pippa lee engages period reflection find heading toward quiet nervous breakdown
Legends of the Fall,epic tale three brother father living remote wilderness usa life affected nature history war love
The Devil's Own,frankie mcguire one ira deadliest assassin draw american family crossfire terrorism sent u buy weapon frankie housed family tom meara new york cop know nothing frankie real identity surprising friendship tom growing suspicion force frankie choose promise peace lifetime murder
Indecent Proposal,john gage offer luck yuppie husband million opportunity spend night man wife
Les Misérables,jean valjean convicted stealing bread hounded decade relentless cruel policeman javert
Friday the 13th,camp counselor stalked murdered unknown assailant trying reopen summer camp site child drowning
Tod der Engel,overview found
The Assassination of Jesse James by the Coward Robert Ford,outlaw jesse james rumored fastest gun west eager recruit james notorious gang robert ford eventually grows jealous famed outlaw robert brother sense opportunity kill james murderous action elevates target near mythical status
30 Days of Night,story isolated alaskan town plunged darkness month year sun sink horizon last ray light fade town attacked bloodthirsty gang vampire bent uninterrupted orgy destruction small town husband wife sheriff team stand survivor certain destruction
Lions for Lambs,three story told simultaneously ninety minute real time republican senator presidential hopeful give hour long interview skeptical television reporter detailing strategy victory afghanistan two special force ambushed afghani ridge await rescue taliban force close poli sci professor california college invite student engage
Elizabeth: The Golden Age,queen elizabeth reign threatened ruthless familial betrayal spain invading army shrewd adviser must act safeguard life people
Elizabeth,story ascension throne early reign queen elizabeth first endless attempt council marry catholic hatred romance lord robert dudley
Sleuth,sprawling country estate aging writer match wit struggling actor stolen wife heart
Enchanted,beautiful princess giselle banished evil queen magical musical animated land find gritty reality street modern day manhattan shocked strange new environment operate happily ever basis giselle adrift chaotic world badly need enchantment giselle begin fall love charmingly flawed divorce lawyer come aid even though already promised perfect fairy tale prince back home wonder storybook view romance survive real world
The Defector,professor bower american physicist effectively blackmailed shady cia agent named adam help cia obtain secret microfilm defecting russian scientist reluctant bower travel east germany undercover antique collector encounter heinzmann east german fellow physicist also secret agent heinzmann aware bower meeting adam intention steal microfilm however mutual respect one another tactic complicate proceeding
The World's Biggest Penis,meet men including man claiming world biggest penis reveal bittersweet side nature gift lift veil taboo subject show reality like men dream
The Darjeeling Limited,three american brother spoken year set train voyage across india plan find bond become brother like used spiritual quest however veers rapidly course due event involving counter pain killer indian cough syrup pepper spray
Hearts of Darkness: A Filmmaker's Apocalypse,chronicle production problem including bad weather actor health war near filming location plagued filming apocalypse increasing cost nearly destroying life career francis ford coppola
Emil and the Detectives,erich k stner beloved novel adapted film television six time since publication british version first english believed lost decade recently rediscovered bfi restored film move action berlin london emil go stay grandmother cousin thereafter tale emil adventure gang streetwise london child faithfully follows original plot
Emil and the Detectives,emil travel bus berlin visit grandmother cousin money stolen crook specializes digging tunnel emil must get money back grandmother following thief emil run gustav enterprising young boy gather friend help emil find money emil cousin also get involved get trouble bargained emil pickpocket turn mixed couple notorious bank robber
The Meaning of Life,life question answered series outrageous vignette beginning staid london insurance company transforms eye pirate ship national health doctor try claim healthy liver still living donor world voracious glutton brings art vomiting new height spectacular demise
The Count of Monte-Cristo,tv adaptation classic alexandre duma novel edmond dante falsely accused jealous good fortune sentenced spend rest life notorious island prison chateau imprisoned meet abbe faria fellow prisoner everyone belief mad abbe tell edmond fantastic treasure hidden away tiny island know location many year prison old abbe dy edmond escape disguised dead body free edmond must find treasure abbe told use new found wealth exact revenge wronged
Panic Room,trapped new york brownstone panic room hidden chamber built sanctuary event break in newly divorced meg altman young daughter sarah play deadly game cat mouse three intruder burnham raoul junior brutal home invasion room focal point intruder really want inside
Be Cool,disenchanted movie industry chili palmer try music industry meeting romancing widow music executive along way
The Machinist,machinist story trevor reznik lathe operator suffering insomnia machine shop occupational hazard bad enough normal circumstance yet trevor risk compounded fatigue trevor lost ability sleep ordinary insomnia
Nightwatching,extravagant exotic moving look rembrandt romantic professional life controversy created identification murderer painting night watch
Hot Chocolate,b j cassidy rich businesswoman invest several billion dollar fiscal reason undertakes buy back small french factory specialized chocolate truffle
Sex and the City,new york writer sex love finally getting married mr big three best girlfriend must console one inadvertently lead mr big jilt
Michael Clayton,law firm brings fixer remedy situation lawyer breakdown representing chemical company know guilty multi billion dollar class action suit
Flesh,heroin junkie work prostitute support habit fund abortion needed girlfriend lesbian wife seedy encounter delusional damaged client date drag queen hustler heavy sex drug decadence
Heat,former child star joe davis reduced living cheap hollywood motel struggling acting job lusted nearly every woman meet including jessica todd tightly wound feminist recently come lesbian jessica mother sally emotionally needy actress meet joe move enormous tacky mansion new boy toy attempt get acting work
Sense and Sensibility,rich mr dashwood dy leaving second wife daughter poor rule inheritance two daughter titular opposite
Mermaids,fifteen year old charlotte flax tired wacky mom moving family different town time feel necessary move small massachusetts town mr flax begin dating shopkeeper charlotte year old sister kate hope finally settle charlotte attraction older man get way family must learn accept truly
Carolina,young woman escape wildly eccentric family search life normalcy
Armored,crew officer armored transport security firm risk life embark ultimate heist company armed seemingly fool proof plan men plan making fortune harm none unexpected witness interferes plan quickly unravels bet
Raising Helen,helen harris glamorous big city life working one new york hottest modeling agency suddenly free spirited life get turned upside must chose life always loved new love life
Absolon,near future virus infected everyone planet absolon drug everyone must take stay alive one corporation control drug murchison leader firm scientist researching virus found murdered norman scott policeman investigates crime
Scorched,three mischievous employee bank small deserted town make plan rob time however none know others
The Sum of All Fears,president russia suddenly dy man whose politics virtually unknown succeeds change political leader spark paranoia among american cia official cia director bill cabot recruit young analyst supply insight advice situation unthinkable happens nuclear bomb explodes u city america quick blame russian
Enigma,five highly trained kgb agent sent west assassinate several soviet dissident order stop diabolical plot american agent must infiltrate soviet intelligence obtain information russian computer
December Boys,many year four teenage orphan australian outback convent watched younger comrade find new parent realize may never adopted reverend mother sends four boy away seaside vacation meet teresa fearless couple would make perfect parent youth compete one another one teresa fearless decide adopt
Cutlass,robin daughter lacy want buy expensive guitar robin reminisces day teenager asking dad first car old cutlas supreme
The Trap,maggie friend planned surprise birthday party despite month away party maggie realizes
Hot Fuzz,former london constable nicholas angel find difficult adapt new assignment sleepy british village sandford miss excitement big city also well meaning oaf partner however series grisly accident rock sandford angel smell something rotten idyllic village
Best Seller,hit man cleve approach writer cop dennis story next book cleve made living working one powerful politician country get story right travel around country gather statement evidence strong force use mean keep story untold
Read It and Weep,young girl turn list celebrity night private journal accidently published becomes best seller
The Guardian,high school swim champion troubled past enrolls u coast guard school legendary rescue swimmer ben randall teach hard lesson loss love self sacrifice
The Year of Getting to Know Us,commitment phobic man reunites estranged ailing father come term childhood
Echt tu matsch,overview found
Jindabyne,stewart kane irishman living australian town jindabyne fishing trip isolated hill country three men discover body murdered girl river rather return town immediately continue fishing report gruesome find day later story murder marriage film thing haunt u
Arctic Tale,arctic tale documentary film national geographic society life cycle walrus calf polar bear cub similar vein hit production march penguin also national geographic
La Barricade du Point du Jour,overview found
Across the Universe,young dockworker jude leaf liverpool find estranged father united state swept wave change shaping nation jude fall love lucy join growing anti war movement body count vietnam rise political tension home spiral control star crossed lover find psychedelic world gone mad
A Tale of Two Cities,british barrister sydney carton life insubstantial unhappy life fall spell lucie manette lucie marries charles darnay darnay go paris rescue imprisoned family retainer becomes entangled snare brutal french revolution jailed condemned guillotine sydney carton love woman cannot come daring plan save husband
The Assassination of Trotsky,stalinist assassin track exiled revolutionary leon trotsky mexico
Daisy Miller,comedy manner american winterbourne try figure bright bubbly daisy miller helped hindered false judgment fellow friend
At Long Last Love,four socialite unexpectedly clash heiress brooke carter run gambler johnny spanish race track playboy michael pritchard nearly run stage star kitty kelly car backstage kitty show turn brooke old friend attended public school together foursome town accompanied brooke companion elizabeth throw michael butler chauffeur rodney james
The Lady Vanishes,remake alfred hitchcock classic eve second world war train carrying assortment passenger pull small town bavaria one passenger kindly old lady mysteriously disappears passenger led confrontation nazi desperate race freedom
Body Snatchers,environmental protection agency inspector steve malone travel remote military base order check toxic material brings family along ride arriving base teenage daughter marti befriends jean platt daughter base commander general platt people base begin acting strangely marti becomes convinced slowly replaced plant like alien
Southland Tales,set futuristic landscape los angeles july stand brink social economic environmental disaster boxer santaros action star stricken amnesia life intertwines krysta adult film star developing reality television project ronald taverner hermosa beach police officer hold key vast conspiracy
Here We Come,story hip hip behind iron curtain
Gone Baby Gone,year old amanda mccready disappears home police make little headway solving case girl aunt beatrice mccready hire two private detective patrick kenzie angie gennaro detective freely admit little experience type case family want two reason cop know tough neighborhood live case progress kenzie gennaro face drug dealer gang pedophile solve case faced moral dilemma tear apart
Cul-de-sac,wounded criminal dying partner take refuge old beachfront fortress owner fortress young wife initially unwilling host quickly experience relationship criminal shift humorous bizarre fashion
Obsession,new orleans businessman michael courtland life shattered wife daughter tragically killed botched kidnap rescue attempt many year later whilst visiting italy meet fall love sandra portinari bear striking resemblance wife
Heart of Darkness,trading company manager travel african river find missing outpost head discovers depth evil humanity soul
Cassandra's Dream,tale two brother serious financial woe third party proposes turn crime thing go bad two become enemy
Un grand patron,overview found
Runaway Bride,ike graham new york columnist writes text always last minute time drunken man favourite bar tell ike maggie carpenter woman always flees groom last possible moment ike best opinion female anyway writes offensive column without researching subject thoroughly
Son of Sinbad,legendary pirate adventurer sinbad single minded pursuit two thing beautiful woman substance called greek fire early version gunpowder
Charade,regina lampert fall dashing peter joshua skiing holiday french alp discovers upon return paris husband murdered soon peter giving chase three late husband world war ii crony tex scobie gideon quarter million dollar quartet stole behind enemy line peter keep changing name
Good Morning Miss Dove,beloved schoolteacher reflects back life former student hospitalized
Ghost Dog: The Way of the Samurai,african american mafia hit man model samurai old find targeted death mob jarmusch spiritual gangster film tell story inner city hit man whitaker life rooftop training samurai strictest sense communicates primarily carrier pigeon remaining loyal gangster tormey saved life
Never So Few,u military troop take command band burmese guerilla world war ii
Kismet,roguish poet given run scheming wazir harem pretending help usurp young caliph
Final Analysis,barr psychiatrist fall love sister one client beautiful married gangster hate husband unable escape
The Jackal,hired powerful member russian mafia avenge fbi sting left brother dead psychopathic hitman known jackal prof elusive target people charged task bringing deputy fbi director russian mvk major jailed ira terrorist recognize
Guys and Dolls,gambler nathan detroit option location big crap game needing pay garage owner host game nathan bet sky masterson sky cannot get virtuous sarah brown date despite resistance sky negotiates date exchange bringing people mission meanwhile nathan longtime fianc e adelaide want go legit marry
Five Moons Plaza,night retirement district attorney saracini given film showing kidnapping aldo moro district attorney take case along team find compelling secretive evidence many secret found stayed secret
The 11th Hour,look state global environment including visionary practical solution restoring planet ecosystem featuring ongoing dialogue expert world including former soviet prime minister mikhail gorbachev renowned scientist stephen hawking former head cia r james woolse
Layer Cake,seemingly straight forward drug deal go awry xxxx break die hard rule turn heat outwit old regime come top save skin
Ein Prachtexemplar,overview found
The Blood of Others,german occupied paris helene torn love boyfriend jean working resistance german administrator bergmann anything gain affection
The Invasion,washington c psychologist carol bennell colleague dr ben driscoll two people earth aware epidemic running rampant city discover alien virus aboard crashed space shuttle transforms anyone come contact unfeeling drone sleep carol realizes son hold key stopping spread plague race find late
Genghis Khan,story shy mongol boy temujin century becomes fearless mongol leader genghis khan unites mongol tribe conquers india china persia korea part rusia europe middle east
Ten Little Indians,ten stranger invited weekend guest remote mountain mansion host show guest start dying one one uniquely macabre agatha christie style based christie best selling novel million sale date making world best selling mystery ever one printed book time
Love Has Many Faces,woman lana turner life acapulco moocher husband cliff robertson married money
A Bullet for Pretty Boy,biography charles pretty boy floyd gangster started career young age seeking revenge father murder
And Then There Were None,ten people invited hotel weekend getaway mr u n owen mysteriously attendance group get together first dinner record played mr owen accuses guest committing various unpunished crime set series murder hotel
And Then There Were None,ten stranger summoned remote island waiting mysterious host appear recording level serious accusation guest soon start murdered one one survivor try keep wit reach disturbing conclusion one must killer
Billion Dollar Brain,former british spy stumble plot overthrow communism help supercomputer working
A Thousand Years of Good Prayers,film follows mr shi retired widower beijing daughter yilan life spokane washington work librarian get divorced decides visit help heal however yilan interested try keeping emotional distance finally fails begin physically avoiding father confronts affair married russian man turn let loose gossip heard young girl alleged affair female colleague back china
Where the Spies Are,local doctor recruited cold war spy fulfill important secret mission middle east experience mission complicated sexy female double agent
Little Laura and Big John,based true story action packed hard hitting depiction infamous ashley gang terrorized southeast also illustrates desperate love two people destined destruction
The Day of the Jackal,international assassin known jackal employed disgruntled french general kill president charles de gaulle dedicated gendarme assassin trail
The Man Who Haunted Himself,executive harold pelham suffers serious accident face shadow death odds miraculously recovers discovers life belong anymore
Dark Blue,set rodney king riot robbery homicide investigation trigger series event cause corrupt lapd officer question tactic
Confessions of a Dangerous Mind,television made famous biggest hit happened screen television producer day cia assassin night chuck barris recruited cia height tv career trained become covert operative barris said
"Sorry, Haters",anxiety fear post america arab cab driver pick troubled professional woman unexpected result
Guilty as Sin,criminal lawyer know happened forced defend wife killer know guilty
A Boy and His Dog,set year post apocalyptic america year old vic telepathic dog blood scavenger desolate wilderness ravaged world war iv survivor must battle food shelter sexual companionship desert like wasteland vic blood eke meager existence foraging food fighting gang cutthroat
The Fourth Protocol,led kim philby plan aurora plan breach top secret fourth protocol turn fear shaped living nightmare crack soviet agent placed cover quiet english country town begin assemble nuclear bomb whilst agent attempt prevent detonation
The Curious Case of Benjamin Button,born unusual circumstance begin curious case benjamin button adapted story f scott fitzgerald man born eighty age backwards man like u unable stop time follow story set new orleans end world war century following journey unusual man life directed david fincher starring brad pitt cate blanchett taraji p henson tilda swinton jason flemyng elia koteas julia ormond benjamin button grand tale ordinary man people place discovers along way love find joy life sadness death last beyond time
Zardoz,far future savage trained kill find way community bored immortal alone preserve humanity achievement
Soul Hustler,matthew crowe whoring pot smoking wandering singer team tent show preacher preacher recognizes mathew charisma together collect big donation delivering sermon rocking gospel song soon enough matthew land record deal older man becomes manager crowe new act matthew son jesus hire backup group mustachioed rock musician play brown monk robe contrast matthew white robe sandal debut album becomes huge hit go concert tour promote
Dead Bang,los angeles homicide detective jerry beck search murderer killed police officer christmas eve investigation take beck inside violent world hate group white supremacist hatching deadly plot attack even innocent people beck must also confront personal demon including growing problem alcohol want track stop violent neo nazi late
Cry Terror!,mad bomber hold innocent family hostage
Edge of Seventeen,toni basil eurythmics friendship bracelet whip summer ever got stuck right middle eric hunter heading towards senior year passing summer working local amusement park fast food restaurant joined long time girl friend maggie ugly brown polyester uniform face world
"The World, the Flesh and the Devil",ralph burton miner trapped several day result cave finally manages dig realizes mankind seems destroyed nuclear holocaust travel new york city find deserted making life flabbergasted eventually find sarah crandall also managed survive together form close friendship arrival benson thacker managed pilot small boat city harbor point tension rise three particularly thacker white burton black
